time, vs, hs, dist, alt, ang,weight,acc
0.0,24.8,932.0,181000.0,13748.0,58.3,286.0,0.0
10.0,24.738834677725514,919.9627046864616,171739.826221444,13496.495935947223,58.3,284.418028,1.5970506623440903
20.0,23.826358807297062,906.340286231932,162615.059068467,13254.194243225631,58.3,282.81740800000006,1.6060892545907213
30.0,22.996450229945754,892.6405737226777,153626.94049574152,13020.563351502158,58.3,281.21678800000007,1.6152307379316195
40.0,22.24930537326849,878.8626850129511,144776.2482832281,12794.776506780872,58.3,279.61616800000013,1.6244768793197961
50.0,21.585119765954957,865.0057227685912,136063.76911559567,12576.00499567712,58.3,278.01554800000014,1.6338294863998029
60.0,21.004087967609856,851.0687741163333,127490.29873602654,12363.418154790246,58.3,276.4149280000002,1.6432904086858857
70.0,20.506403495677123,837.0509102829374,119056.64210358339,12156.183380793917,58.3,274.8143080000002,1.6528615387813055
80.0,20.092258749344403,822.9511862237816,110763.61355424317,11953.466141273719,58.3,273.2136880000003,1.6625448136405212
90.0,19.83843059887485,808.8929627324428,102611.70567987104,11754.225774838835,58.3,271.63171600000027,1.6235217539913473
100.0,20.011633044286217,795.3120799894145,94597.89765324818,11555.259525117437,58.3,270.1143460000003,1.5626715361500993
110.0,20.46877369420686,781.9836363062597,86718.02259316856,11352.696317134898,58.3,268.6269460000002,1.571324121743169
120.0,21.007706360032664,768.5812076849566,78971.83821132548,11145.112011257146,58.3,267.1395460000002,1.5800730603921878
130.0,21.628630361093865,755.1039681717264,71360.08888849863,10931.68759055645,58.3,265.65214600000013,1.5889199705542743
140.0,22.33174436647861,741.5510779039304,63883.52734124878,10711.602048439674,58.3,264.16474600000015,1.5978665071379345
150.0,23.1172463351143,727.9216827960097,56542.914762726374,10484.032395478245,58.3,262.67734600000006,1.6069143625350923
160.0,23.98533345337768,714.2149142165116,49339.02096666969,10248.153666850827,58.3,261.1899460000001,1.6160652676883658
170.0,24.936202070131458,700.429888655896,42272.62453468307,10003.138930423962,58.3,259.702546,1.6253209931950379
180.0,25.832076339972957,686.341505843659,35345.25954103534,9748.619143728149,58.3,258.185176,1.700756049603715
190.0,26.431176847372193,671.550132805045,28562.60687538797,9486.754984687223,58.3,256.601206,1.784909771624378
200.0,26.728703413916485,656.0369644876633,21931.827081215368,9220.557524813708,58.3,254.950636,1.87059741243399
210.0,26.723310852815423,639.7885799634103,15460.211243126572,8953.049585350334,58.3,253.23346600000002,1.9579165733173671
220.0,26.413260651599426,622.7907082696175,9155.189293807965,8687.2695868949,58.3,251.44969600000002,2.0469700627516367
230.0,25.79640085968166,605.0281823975279,3024.3387642639605,8426.275591679294,58.3,249.59932600000002,2.1378663498474353
240.0,24.87014395174543,586.4848892650822,-2924.605984034289,8173.149557956037,58.3,247.683022,2.2230833407709314
250.0,23.85270908838048,567.5036405679465,-8685.181115719268,7930.117329151656,58.3,245.74274199999996,2.2406358597561353
260.0,22.924130291397443,548.3719880850654,-14255.118498289074,7696.7707138692585,58.3,243.80246199999993,2.258467759033542
270.0,22.08436898949217,529.0875292245291,-19632.90092675047,7472.221353374694,58.3,241.8621819999999,2.2765857623826458
280.0,21.333373940509567,509.6478033610924,-24816.986852531398,7255.581343851592,58.3,239.92190199999987,2.294996811087303
